"Id";"Name";"Order";"CategoryId";"Country";"Region";"IsActive";"CountryCode";"Language";"IsMajor";"IsInternational"
"sr:tournament:493";"Regionalliga West";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:495";"US Open Cup";1000;"sr:category:26";"USA";"other";1;"";"en-US";0;0
"sr:tournament:498";"CONCACAF CL";47;"sr:category:393";"International Clubs";"am";1;"CAF";"en-US";1;1
"sr:tournament:504";"Cup";1000;"sr:category:10";"Iceland";"other";1;"";"en-US";0;0
"sr:tournament:505";"Super Cup";1000;"sr:category:46";"Turkey";"other";1;"";"en-US";0;0
"sr:tournament:507";"NRW-Liga";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:508";"Bremen-Liga";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:509";"Oberliga Hamburg";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:510";"Super Cup";1000;"sr:category:78";"Bulgaria";"other";1;"";"en-US";0;0
"sr:tournament:511";"Super Cup";1000;"sr:category:47";"Poland";"other";1;"";"en-US";0;0
"sr:tournament:512";"Schleswig-Holstein-Liga";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:515";"II Liga";1000;"sr:category:47";"Poland";"other";1;"";"en-US";0;0
"sr:tournament:52";"Super Lig";30;"sr:category:46";"Turkey";"eu";1;"TUR";"en-US";1;0
"sr:tournament:53";"Serie B";101;"sr:category:31";"Italy";"other";1;"ITA";"en-US";1;0
"sr:tournament:532";"2nd Liga";1000;"sr:category:24";"Slovenia";"other";1;"";"en-US";0;0
"sr:tournament:533";"Danmarksserien, Pulje 1";1000;"sr:category:95";"Denmark Amateur";"other";1;"";"en-US";0;0
"sr:tournament:534";"Danmarksserien, Pulje 2";1000;"sr:category:95";"Denmark Amateur";"other";1;"";"en-US";0;0
"sr:tournament:535";"Danmarksserien, Pulje 3";1000;"sr:category:95";"Denmark Amateur";"other";1;"";"en-US";0;0
"sr:tournament:54";"LaLiga 2";95;"sr:category:32";"Spain";"other";1;"ESP";"en-US";1;0
"sr:tournament:544";"Second Division B";94;"sr:category:32";"Spain";"other";1;"ESP";"en-US";1;0
"sr:tournament:55";"Ykkonen";1000;"sr:category:19";"Finland";"other";1;"";"en-US";0;0
